Date,Open,High,Low,Close,Volume,sentiment,signal,equity
2024-09-20,480.322,481.516,476.15,480.272,34733755,0.0,Hold,1.0
2024-09-23,481.455,482.642,480.109,481.545,24920107,0.0,Hold,1.0
2024-09-24,482.96,484.824,478.683,483.868,26033218,0.0,Hold,1.0
2024-09-25,483.24,486.28,483.06,484.316,26632301,0.0,Hold,1.0
2024-09-26,491.843,492.172,484.296,487.955,32119626,0.0,Hold,1.0
2024-09-27,488.982,489.121,484.057,485.244,22922071,0.0,Hold,1.0
2024-09-30,484.276,486.898,481.425,486.56,30424779,0.0,Hold,1.0
2024-10-01,486.19,486.49,475.923,479.781,42868114,0.0,Hold,1.0
2024-10-02,478.873,482.382,476.241,480.458,23817772,0.0,Hold,1.0
2024-10-03,478.255,483.045,477.507,480.099,25415890,0.0,Hold,1.0
2024-10-04,485.942,486.37,480.892,485.812,30840369,0.0,Hold,1.0
2024-10-07,483.888,485.064,479.381,480.608,25052665,0.0,Hold,1.0
2024-10-08,483.16,488.473,482.347,487.786,28359799,0.0,Hold,1.0
2024-10-09,487.486,492.201,486.44,491.623,25072557,0.0,Hold,1.0
2024-10-10,489.331,492.939,488.015,491.065,25830399,0.0,Hold,1.0
2024-10-11,489.221,492.859,488.653,491.833,20708596,0.0,Hold,1.0
2024-10-14,494.235,497.286,493.727,495.96,26141060,0.0,Hold,1.0
2024-10-15,496.289,496.957,487.168,489.331,34892509,0.0,Hold,1.0
2024-10-16,489.66,490.168,486.06,489.39,23068179,0.0,Hold,1.0
2024-10-17,494.903,494.953,489.67,489.729,27295145,0.0,Hold,1.0
2024-10-18,492.531,494.036,491.773,492.939,25413693,0.0,Hold,1.0
2024-10-21,491.723,494.694,489.789,493.887,30430742,0.0,Hold,1.0
2024-10-22,491.205,495.905,490.447,494.425,26768698,0.0,Hold,1.0
2024-10-23,492.062,492.721,483.548,486.848,39468733,0.0,Hold,1.0
2024-10-24,490.587,491.474,487.925,490.796,22093315,0.0,Hold,1.0
2024-10-25,493.607,498.732,492.899,493.787,38882496,0.0,Hold,1.0
2024-10-28,496.917,496.977,493.567,493.867,20541360,0.0,Hold,1.0
2024-10-29,494.185,499.798,492.321,498.612,28101040,0.0,Hold,1.0
2024-10-30,497.844,498.801,494.355,494.843,29848350,0.0,Hold,1.0
2024-10-31,490.856,490.906,482.253,482.352,41373311,0.0,Hold,1.0
2024-11-01,483.998,489.232,483.698,485.922,33760255,0.0,Hold,1.0
2024-11-04,485.314,487.865,482.755,484.506,23363898,0.0,Hold,1.0
2024-11-05,486.1,491.355,486.011,490.687,24429231,0.0,Hold,1.0
2024-11-06,499.01,504.842,498.054,504.015,43215965,0.0,Hold,1.0
2024-11-07,506.826,512.738,506.767,511.951,32955126,0.0,Hold,1.0
2024-11-08,511.447,513.324,510.824,512.549,22995662,0.0,Hold,1.0
2024-11-11,513.775,513.984,509.339,512.249,24242517,0.0,Hold,1.0
2024-11-12,512.18,513.067,508.252,511.323,25915504,0.0,Hold,1.0
2024-11-13,510.814,513.386,508.371,510.665,24643696,0.0,Hold,1.0
2024-11-14,510.325,511.203,506.198,507.115,28768567,0.0,Hold,1.0
2024-11-15,501.384,501.772,492.959,495.033,51620837,0.0,Hold,1.0
2024-11-18,496.588,500.586,495.193,498.472,27277093,0.0,Hold,1.0
2024-11-19,495.881,502.394,495.541,501.902,24599162,0.0,Hold,1.0
2024-11-20,501.602,501.922,495.018,501.612,29657289,0.0,Hold,1.0
2024-11-21,504.673,505.391,496.02,503.417,34633941,0.0,Hold,1.0
2024-11-22,502.858,504.962,501.224,504.224,23900624,0.0,Hold,1.0
2024-11-25,508.321,509.869,502.702,505.022,26457059,0.16666666666666666,Buy,0.9995
2024-11-26,506.507,508.561,505.66,507.733,26639518,0.15476190476190477,Hold,1.0048653989331158
2024-11-27,506.597,506.667,500.376,503.736,25034932,0.14285714285714285,Hold,0.9969548494917053
2024-11-29,504.364,508.761,503.746,508.162,15381578,0.0,Hold,1.0057144421431146
2024-12-02,509.429,514.662,509.039,513.695,25225245,0.0,Hold,1.0166649225182272
2024-12-03,512.359,515.549,511.781,515.27,18655645,0.0,Hold,1.0197820391982926
2024-12-04,518.71,521.9,517.992,521.64,26167218,0.0,Hold,1.0323890444376684
